user_screen_name,created_at,tweet_text
greycarrot,3/30/2019 13:45,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
SamsungMobileIN,3/30/2019 13:45,b'@Dinesh_the_star The #GalaxyS10 comes with the stunning Infinity-O display that offers you a cinematic viewing expe\xe2\x80\xa6 https://t.co/3Tq8Iybtz2'
,,
Dinesh_the_star,3/30/2019 13:45,b'There are displays and then there is the #GalaxyS10 Infinity-O Display. It has been awarded by VDE for 100% Mobile\xe2\x80\xa6 https://t.co/jYEMSvbiPQ'
,,
SamsungMobileIN,3/30/2019 13:44,b'@ghasoliasanskar The pro-grade cameras on #GalaxyS10 will revolutionize how you shoot. Capture panoramic landscapes\xe2\x80\xa6 https://t.co/DFMrJOngVS'
,,
ghasoliasanskar,3/30/2019 13:44,"b'With the #GalaxyS10, there are so many ways to capture my memories like a pro. Be it HDR 10+ videos, super slow-mo\xe2\x80\xa6 https://t.co/4lQnNqw3vL'"
,,
Elitesmith_,3/30/2019 13:41,b'RT @OloriSupergal: Third facilitator @thepamilerin \n\n#influencermarketing #OSGACADEMY #Masterclass \n\n#ShotonmyGalaxyNG #GalaxyS10 #GalaxyS1\xe2\x80\xa6'
,,
TechConsumer1,3/30/2019 13:40,b'RT @GregglesTV: Happy #Saturday\n\nDid you know you can move your camera shutter button anywhere on the screen that you like on the @SamsungM\xe2\x80\xa6'
,,
thepamilerin,3/30/2019 13:40,b'RT @OloriSupergal: Third facilitator @thepamilerin \n\n#influencermarketing #OSGACADEMY #Masterclass \n\n#ShotonmyGalaxyNG #GalaxyS10 #GalaxyS1\xe2\x80\xa6'
,,
GregglesTV,3/30/2019 13:39,b'Happy #Saturday\n\nDid you know you can move your camera shutter button anywhere on the screen that you like on the\xe2\x80\xa6 https://t.co/r33lH0I6SG'
,,
YairData,3/30/2019 13:36,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
SamsungMobileIN,3/30/2019 13:34,b'@itsKishankk The #GalaxyS10 comes with the stunning Infinity-O display that offers you a cinematic viewing experien\xe2\x80\xa6 https://t.co/bmyEXHeGMh'
,,
itsKishankk,3/30/2019 13:34,b'There are displays and then there is the #GalaxyS10 Infinity-O Display. It has been awarded by VDE for 100% Mobile\xe2\x80\xa6 https://t.co/hAKhvggoAd'
,,
fairyblue62,3/30/2019 13:33,b'@CPWTweets #GalaxyS10 Awesome phone I love the triple lens camera and dast wireless charing and huge storage! Eek I\xe2\x80\xa6 https://t.co/g2T3PqJowd'
,,
JustaBBFan13,3/30/2019 13:33,b'RT @BravoWWHL: Watch What Happens... some of our #WWHL studio cameras are being replaced with the Samsung\xc2\xa0#GalaxyS10+\xc2\xa0to\xc2\xa0capture\xc2\xa0tonight\xe2\x80\x99s\xe2\x80\xa6'
,,
DigitalStreetZA,3/30/2019 13:33,"b""RT @SamsungMobileSA: The #GalaxyS10 handles graphics-heavy games like they're tic-tac-toe \xf0\x9f\x98\x8e.  Put your gaming reflexes to the test at our #\xe2\x80\xa6"""
,,
alieza30,3/30/2019 13:32,"b""RT @SamsungMobileSA: The #GalaxyS10 handles graphics-heavy games like they're tic-tac-toe \xf0\x9f\x98\x8e.  Put your gaming reflexes to the test at our #\xe2\x80\xa6"""
,,
_Be_Stylish_,3/30/2019 13:31,b'RT @SamsungMobileSA: Get to the @MenlynSA Starbucks Court to experience everything the next gen #GalaxyS10 has to offer. Experience all the\xe2\x80\xa6'
,,
