user_screen_name,created_at,tweet_text
SamsungMobileIN,3/30/2019 13:45,galaxys10 come stunning infinity display offer cinematic viewing 
SamsungMobileIN,3/30/2019 13:44,prograde camera galaxys10 revolutionize shoot capture panoramic landscape
fairyblue62,3/30/2019 13:33,galaxys10 awesome phone love triple lens camera dast wireless charing huge storage 
SamsungMobileIN,3/30/2019 13:26,revolutionary indisplay ultrasonic fingerprint sensor make vaultlike security totally invisible
ArunChine,3/30/2019 13:10,it becomes hassle carry many charger device wireless powershare
nIlesh_1149,3/30/2019 12:47,like galaxys10 high screentobody ratio inscreen fingerprint sensor wireless powershare 
SamsungMobileIN,3/30/2019 12:36,prograde camera galaxys10 revolutionize shoot capture panoramic landscape
SineadCryan12,3/30/2019 11:30,love size punch hole display allowed samsung bigger screen 61inch infinity display 
sarziye,3/30/2019 11:26,galaxys10 let capture life see groundbreaking ultrawide lens
NageenaAhmed,3/30/2019 11:24,three rear camera favourite feature would able take high quality excellent picture win galaxys10
dippyme888,3/30/2019 11:11,galaxys10 camera great oodles memory
Gegewiganese,3/30/2019 10:59,fast wireless charging would favourite feature loving super fast feature gonna great galaxys10
Kingcooper74,3/30/2019 10:28,love taking selfies triple lens camera sound amazing galaxys10 perfect match would make great couple
baaaf459,3/30/2019 10:18,ultrasonic fingerprint id give quick secure access galaxys10
TRIGGZYBOY,3/30/2019 9:28,ultra wide camera amazing picture take competition win galaxys10 
officalccu127,3/30/2019 9:20,add screen subtract bezel get cinematic infinity display look best galaxys10
HELSKREED,3/30/2019 9:13,fast charging would perfect galaxys10 
jenrhymer,3/30/2019 8:54,camera photo cherish lovely child competition win galaxys10 
mia_low,3/30/2019 8:09,camera sound amazing galaxys10
dannclan,3/30/2019 8:00,infinity display look absolutely incredible galaxys10
PaulPH69,3/30/2019 7:55,galaxys10 quality camera
jazza1,3/30/2019 7:40,high quality camera galaxys10
Ami032108,3/30/2019 7:26,galaxys10 simply love ultrasonic fingerprint scanner 
melmel2801,3/29/2019 23:53,im big camera fan snap everything review camera s10 look amazing battery life
toadsaver,3/29/2019 23:43,wireless powershare cool galaxys10
Jammy_Cow,3/29/2019 22:49,galaxys10 fabulous camera
EryaoS,3/29/2019 19:55,ultrasonic fingerprint security galaxys10 tight
Crabby_02,3/29/2019 19:26,ive always loved curved screen samsung galaxy series amp ultra wide camera boast
sweetie_tweeter,3/29/2019 17:26,awesome camera galaxys10
MorbidPharaoh,3/28/2019 17:20,battery life love galaxys10
WhitestoneChina,3/28/2019 2:30,improve fingerprint sensor speed galaxy s10  
stetsdogg,3/28/2019 2:29,galaxys10 deserves amazing cell service fast lte speed hotspot volta wifi calling 
whitestone_UK,3/27/2019 23:22,galaxy s10 make screen protector situation bit complicated since phone ultrasonic fingerprint sensor
rohankumaruk,3/27/2019 13:32,battery power share power wirelessly galaxys10 
agrah3,3/27/2019 9:03,prograde intelligent camera make every shot worth sharing galaxys10 
WhitestoneJapan,3/27/2019 6:17,want use tempered glass screen protector ultra sonic fingerprint galaxys10
Er_Avadh,3/27/2019 1:22,facing extreme battery drain issue galaxys10 getting average 3 hr screen time
jeannartey,3/26/2019 20:15,galaxys10 adaptive power saving mode work hard manage battery life dont spend time
kalahed,3/26/2019 1:17,much like galaxys10 inscreen fingerprint reader launch ready technology 
Aurgho_,3/25/2019 7:57,galaxys10 lockscreen wallpaper frigging
TechDataUK,3/25/2019 0:30,ultraconfident security fingertip ultrasonic fingerprint scanner newest way keep your phone safe
looneylu,3/24/2019 21:27,the fingerprint reader galaxys10 verge sending phone back frustrating
c7wolfix,3/24/2019 21:03,just got new galaxys10 im loving camera weird spot apps shut top part 
ETHANWCO,3/24/2019 19:06,my samsungmobile galaxys10 major screen brightness issue 1200 nit screen significantly dimmed
Gadget_Edges,3/24/2019 14:00,best samsung galaxys10 wireless charger wireless charger samsung
WhitestoneJapan,3/24/2019 8:12,this definitely worth money fingerprint sensor galaxys10 work fine like everything else 
JoelRTaveras,3/23/2019 17:02,galaxys10 punch hole camera wallpaper fun mess around
m5fayiE3IhUwmL3,3/23/2019 13:15,unpacked one best thing business perspective galaxys10 ultrasonic fingerprint
Zay_38,3/22/2019 18:24,family day park shot with galaxys10 camera beautiful quality
lutfi_hambali,3/22/2019 16:41,after 33 hour battery life still got 22 left madness galaxys10
Jammy_Cow,3/29/2019 22:49,galaxys10 fabulous camera
debbie_0603,3/29/2019 21:56,galaxys10 would grateful phone decent battery amp look pretty decent
ChrisHughesy,3/29/2019 18:25,definitely camera 1001 selfies amazing photo galaxys10
steviey,3/29/2019 18:20,phenomenal camera proper game changer galaxys10
_benjani_,3/29/2019 17:52,love 61inch infinityo display competition win galaxys10 
c7wolfix,3/25/2019 1:00,power share s10 nice charge quickly as well samsung galaxys10 loving new galaxy s10
frank_quinton,4/10/2019 11:06,samsungmobile good battery life help alotntop ph never enough memory 
muhlesiyazi,4/10/2019 8:39,galaxys10 battery died park station waiting someone
barryalex_25348,4/10/2019 8:34,way interview getting closer battery died worst day ever never got
Kay_bantwana,4/10/2019 8:34,yesterday was expecting money person asked account number battery died 
carrolchaby,4/10/2019 8:27,galaxys10 got stuck highway battery dead couldnt call help had
Roux007,4/10/2019 8:23,world great battery life especially work traveling work
Chantel_90236,4/10/2019 8:19,new galaxy s10 large battery ai managed ensuring last day longest ever stayed 
CrystalHaas7,4/10/2019 8:10,galaxys10 many time battery died bad timei live security complex there number 
_nixi_pix_,4/10/2019 7:41, really needed phone battery charged watched linkin park liveit died half way
WayneBrandonNo2,4/9/2019 15:42,samsung galaxy s10 solid battery lifethe battery based prediction 
HamazMo_,4/9/2019 14:47,ive gone weekend varsity party house party battery never last long
CrystalHaas7,4/9/2019 13:41,hate phone battery died always happens 
Mawewe1,4/9/2019 7:37,enjoy longerlasting battery samsungmobilesa galaxys10 automatically optimises app battery
Liron_Segev,4/8/2019 20:27,anyone using galaxy s10 finding battery life getting mixed results and monthngalaxys10
MashJR_Thapelo,4/8/2019 6:08, im tired annoying low battery samsungmobilesa galaxys10
Lauretta_Morudu,4/8/2019 6:08,always denies battery run need galaxys10 life 
funkin79,4/5/2019 21:13,galaxy s10 huge feature like massive battery capacity super sized screen  competition win galaxys10 
Sweetnene28,4/5/2019 20:11,s10 5g great size quad rear camera longer battery life sound amazing love it
VirajRRane,4/6/2019 7:52,engineers_feed attempted fool new samsung galaxy s10 ultrasonic fingerprint scanner using 3d printing succeeded now
moses_munyai_m,4/6/2019 5:18,galaxys10 one cause love inscreen fingerprint sensor screen 
GregglesTV,4/5/2019 22:49,galaxys10 ultrasonic fingerprint sensor fooled 3dprinted fingerprint galaxy s10
thetechlearner,4/5/2019 17:05,revolutionary indisplay ultrasonic fingerprint sensor make vaultlike security totally invisible
Trudeestweets,4/5/2019 17:02,s10 look incredible bigger screen amp long battery life totally get vote would 
EasilyJonathan,4/5/2019 15:52,galaxys10 love battery life the ultrafast network the ram size megapixels camera
zimutsa,4/5/2019 15:04,love galaxys10 screen fingerprint sensor improved display quality samsungmobilesa
Tshilidzi_M_,4/5/2019 14:57,i love camera layout especially holepunch selfie cam ni think ultra sonic fingerprint sensor also
TasmynWalker,4/5/2019 14:34,its much easier faster use fingerprint unlock phone wouldnot want anyone use phone for
Thabo50809118,4/5/2019 14:27,id love ultrasonic fingerprint scanner bcz keep forgetting password galaxys10
tsholanangp,4/5/2019 14:07,galaxys10 galai like fact tht h long battery life nd always move 
Mathspalo,4/5/2019 13:56,galaxys10 love camera reverse charge battery good battery life
DavidSm32999299,4/5/2019 13:50,fingerprint scanner would help life blocking child logging 
KrispyRen,4/5/2019 13:47,screen fingerprint sensor amazing basically fool proof pickup line galaxys10 samsungmobilesa
VEBIKE,4/5/2019 13:45,galaxys10 ultrasonic fingerprint scanner really come handy liked
MissBips28,4/5/2019 13:36,ultrasonic fingerprint thee best one ever touch phone without permission thanks galaxys10
BUCS1_ZN,4/5/2019 13:32,i love space privacy ultrasonic fingerprint scanner ensure phone safe secure
Noctular,4/5/2019 13:32,worst memory ever fingerprint access integrated mobile internet banking best thing 
sulaimanl,4/5/2019 13:29,galaxys10 fingerprint make login much easier 
Paulie_1984,4/5/2019 11:09,galaxy s10 phone screen stunning supior battery life 
HernaineM,4/5/2019 10:52,tricamera feature 12mp double 16mp plus outrageous selfie camera 10mp 8mp battery sharing 
EffectedChip,4/5/2019 10:49,love look phone amazing camera battery plus one ui amazing
phatQuen,4/5/2019 9:33,galaxys10  love long battery life
NandeBija,4/5/2019 9:12,fast charge incredible battery life help get everyday life student since note
Jamez_Worldwide,4/5/2019 6:40,ive big fan samsung competitiveness camera 
maVee_Vincent,4/5/2019 6:40,galaxys10 love dual selfie camera 10 8 mp dual camera give perfect
carmiedevos,4/5/2019 6:39,love samsung love kfm love 2 front 3 rear lens plus intelligent prograde camera
zimutsa,4/5/2019 6:39,love galaxys10 screen finger print sensor samsungmobilesa
Rachel_Ward5619,4/5/2019 6:39,love camera best ever seen smartphone galaxys10
ZayaanaJanodien,4/5/2019 6:38,love fantastic selfie camera rgb camera well infinity display galaxys10 
SonsRosyCheeks,4/5/2019 6:37,flawless picture galaxys10 world battery life top notch galaxys10
AndreaBester2,4/5/2019 6:36,love camera definitely next level 
